agency_id,stop_id,agency_stop_id
275,740067114,51997
275,740067115,51999
275,740067116,52001
275,740011254,52005
275,740067118,52007
275,740010552,52009
275,740067119,52011
275,740067120,52013
275,740011257,52014
275,740011258,52016
275,740012860,52018
275,740067122,52021
275,740067123,52023
275,740067125,52033
275,740067126,52034
275,740067127,52035
275,740067128,52036
275,740067129,52037
275,740068012,63629
275,740045741,63779
275,740045740,63781
275,740045724,63783
275,740068074,63785
275,740068075,63787
275,740068076,63789
275,740045783,63791
275,740001294,63793
275,740068077,63795
275,740068078,63797
275,740010917,63799
275,740068080,63801
275,740068082,63804
275,740068083,63805
275,740068084,63807
275,740068085,63809
275,740068086,63811
275,740068087,63813
275,740068088,63815
275,740068089,63817
275,740051189,13023
275,740051213,13025
275,740051216,13027
275,740051220,13029
275,740045502,13031
275,740051221,13033
275,740051223,13035
275,740021711,13037
275,740051231,13039
275,740051233,13041
275,740051234,13043
275,740051237,13045
275,740051239,13047
275,740051240,13049
275,740000789,13051
275,740045514,13053
275,740051241,13055
275,740051242,13057
275,740051243,13059
275,740051244,13061
275,740021721,13063
275,740021716,13065
275,740051247,13067
275,740051248,13069
275,740045467,13071
275,740051249,13073
275,740051251,13075
275,740051252,13077
275,740051253,13079
275,740051254,13081
275,740051255,13083
275,740024923,13086
275,740051256,13091
275,740051287,13093
275,740051327,13095
275,740051331,13097
275,740051368,13105
275,740051371,13107
275,740051372,13109
275,740051383,13111
275,740051530,13115
275,740051531,13117
275,740051556,13119
275,740051856,13122
275,740051857,13124
275,740051858,13126
275,740051958,13135
275,740051959,13137
275,740051996,13139
275,740052009,13147
275,740066307,40803
275,740066308,40804
275,740066309,40805
275,740066310,40806
275,740066311,40807
275,740066312,40809
275,740066314,40813
275,740066315,40815
275,740066316,40819
275,740031090,40821
275,740066259,40294
275,740064058,40302
275,740066260,40303
275,740066261,40305
275,740066262,40307
275,740053525,40312
275,740066263,40319
275,740066264,40323
275,740066265,40325
275,740045895,40330
275,740066266,40331
275,740066267,40333
275,740066268,40335
275,740045899,40337
275,740000698,40359
275,740066270,40375
275,740066271,40379
275,740066272,40381
275,740066273,40383
275,740066274,40389
275,740066275,40391
275,740066276,40403
275,740066277,40405
275,740066278,40407
275,740066279,40409
275,740066280,40411
275,740026544,40414
275,740066281,40415
275,740045912,40417
275,740066282,40419
275,740066283,40421
275,740066284,40431
275,740066285,40435
275,740066286,40437
275,740066287,40439
275,740066288,40441
275,740066289,40444
275,740045896,40461
275,740066290,40463
275,740045898,40465
275,740066291,40467
275,740066292,40469
275,740066293,40471
275,740066294,40473
275,740026545,40476
275,740066295,40477
275,740066297,40479
275,740066298,40481
275,740066299,40483
275,740045897,40485
275,740066300,40487
275,740066301,40489
275,740066302,40491
275,740066303,40492
275,740066304,40493
275,740045908,40523
275,740066305,40801
275,740067195,52281
275,740067196,52283
275,740067197,52285
275,740067198,52287
275,740067199,52291
275,740067200,52293
275,740045866,52296
275,740067201,52298
275,740034942,52301
275,740067203,52316
275,740067204,52320
275,740067205,52322
275,740067206,52326
275,740067207,52330
275,740067208,52332
275,740067209,52336
275,740067211,52340
275,740067212,52342
275,740067213,52344
275,740067214,52346
275,740067215,52347
275,740001173,52348
275,740067216,52350
275,740067217,52352
275,740067218,52354
275,740067219,52356
275,740067221,52372
275,740034944,52375
275,740025887,52377
275,740067223,52444
275,740067224,52450
275,740067225,52583
275,740067226,52585
275,740067227,52586
275,740067229,52591
275,740067231,52622
275,740067232,52624
275,740067233,52626
275,740067234,52628
275,740067235,52630
275,740067236,52632
275,740067237,52634
275,740067238,52636
275,740067239,52638
275,740067240,52640
275,740045634,52703
275,740067242,52706
275,740067243,52707
275,740067244,52709
275,740067245,52710
275,740067246,52711
275,740067247,52821
275,740067248,52823
275,740067249,52825
275,740067250,52827
275,740067251,52829
275,740067252,52831
275,740067253,52833
275,740067254,52839
275,740045639,52994
275,740000284,54009
275,740000687,54022
275,740067255,54024
275,740067256,54026
275,740067257,54028
275,740067258,54030
275,740067259,54032
275,740067260,54381
275,740067261,54385
275,740068013,63631
275,740045697,63633
275,740023503,63635
275,740068014,63637
275,740068015,63639
275,740068016,63641
275,740068017,63643
275,740068018,63645
275,740068019,63647
275,740068020,63649
275,740068021,63651
275,740068022,63653
275,740068023,63655
275,740068024,63657
275,740068025,63659
275,740068026,63661
275,740068027,63663
275,740068028,63665
275,740068029,63667
275,740068030,63671
275,740068031,63673
275,740068032,63675
275,740045718,63677
275,740011047,63681
275,740068034,63682
275,740068035,63685
275,740068036,63687
275,740068037,63689
275,740011328,63691
275,740068038,63693
275,740011354,63695
275,740045801,63696
275,740068039,63697
275,740068040,63699
275,740068041,63701
275,740068042,63703
275,740068043,63705
275,740068044,63707
275,740068045,63709
275,740068046,63711
275,740068047,63713
275,740068048,63715
275,740068049,63717
275,740068050,63719
275,740068051,63721
275,740068052,63723
275,740068053,63725
275,740068054,63727
275,740068055,63729
275,740068056,63731
275,740068057,63733
275,740068058,63735
275,740068059,63737
275,740045773,63739
275,740045772,63743
275,740000695,63745
275,740045771,63747
275,740068062,63749
275,740068063,63751
275,740068064,63753
275,740068065,63755
275,740068066,63757
275,740068067,63759
275,740068068,63761
275,740068069,63763
275,740068070,63765
275,740045743,63767
275,740045742,63769
275,740068071,63771
275,740068072,63773
275,740068073,63775
275,740011356,63777
275,740045902,12980
275,740021692,13001
275,740051121,13003
275,740051126,13005
275,740051140,13007
275,740051154,13009
275,740051162,13011
275,740051163,13013
275,740051184,13015
275,740045489,13017
275,740051187,13019
275,740021701,13021
275,740066319,40982
275,740066320,40984
275,740066321,41027
275,740066322,41029
275,740066323,41031
275,740066324,41033
275,740066325,41035
275,740066326,41037
275,740066327,41039
275,740066328,41041
275,740018276,41043
275,740066329,41045
275,740066330,41047
275,740018274,41049
275,740066331,41063
275,740066332,41065
275,740066333,41067
275,740066334,41073
275,740035330,41075
275,740066335,41077
275,740066336,41079
275,740066337,41081
275,740066338,41083
275,740066339,41085
275,740066340,41111
275,740066341,41113
275,740066342,41115
275,740066343,41117
275,740066344,41119
275,740066345,41121
275,740066346,41123
275,740066347,41125
275,740066349,41128
275,740066350,41129
275,740066351,41141
275,740066352,41143
275,740066353,41145
275,740066354,41151
275,740001090,41157
275,740066355,41159
275,740024663,41161
275,740066356,41181
275,740066357,41183
275,740066358,41185
275,740066359,41187
275,740066360,41189
275,740066361,41191
275,740066362,41193
275,740066363,41195
275,740066364,41197
275,740066365,41199
275,740066366,41201
275,740066367,41203
275,740066368,41205
275,740066369,41207
275,740066370,41209
275,740066371,41211
275,740066372,41213
275,740066373,41215
275,740066374,41217
275,740024969,41219
275,740066375,41221
275,740067266,54839
275,740067267,54841
275,740067268,54843
275,740067269,54845
275,740067270,54847
275,740067271,54849
275,740067272,54851
275,740067273,54853
275,740067274,54855
275,740067275,54857
275,740067276,54861
275,740067277,54863
275,740067278,54865
275,740067279,54867
275,740067280,54869
275,740067281,54871
275,740067282,54874
275,740067283,54875
275,740067284,54877
275,740067285,54879
275,740067286,54881
275,740067288,54885
275,740010858,54887
275,740067290,54889
275,740067291,54955
275,740067292,54961
275,740067293,54964
275,740067294,54997
275,740067295,55001
275,740067297,55010
275,740067298,55011
275,740067299,55015
275,740067300,55017
275,740067301,55019
275,740067302,55021
275,740045470,55023
275,740067303,55025
275,740045469,55030
275,740067304,55032
275,740067305,55033
275,740067306,55035
275,740067307,55039
275,740067310,55051
275,740011188,55060
275,740011200,55062
275,740067312,55064
275,740067313,55069
275,740067314,55071
275,740067315,55073
275,740067316,55075
275,740067318,55078
275,740067319,55080
275,740024968,55081
275,740067320,55082
275,740067321,55085
275,740067322,55101
275,740046070,55102
275,740067323,55103
275,740032922,55105
275,740067324,55106
275,740067326,55111
275,740046096,55112
275,740046183,55114
275,740045398,55138
275,740052258,13169
275,740052259,13171
275,740052276,13173
275,740052277,13175
275,740052304,13178
275,740052305,13179
275,740052450,13182
275,740052466,13183
275,740052601,13191
275,740052602,13193
275,740052704,13205
275,740052807,13207
275,740024919,13211
275,740053026,13213
275,740053057,13215
275,740053063,13217
275,740024918,13219
275,740024920,13235
275,740053064,13242
275,740053086,13243
275,740053087,13245
275,740053088,13247
275,740053155,13248
275,740053156,13249
275,740053157,13251
275,740053247,13253
275,740021723,13255
275,740053268,13257
275,740053420,13259
275,740053702,13261
275,740021696,13264
275,740021697,13266
275,740053707,13267
275,740053708,13269
275,740053710,13273
275,740053711,13275
275,740053712,13277
275,740053713,13279
275,740053715,13281
275,740053716,13283
275,740045492,13285
275,740053725,13287
275,740053726,13289
275,740053727,13291
275,740045504,13293
275,740053728,13295
275,740053729,13297
275,740056690,13299
275,740056856,13302
275,740056863,13304
275,740056914,13306
275,740056918,13308
275,740056976,13310
275,740056978,13312
275,740056983,13313
275,740057050,13315
275,740057050,13316
275,740057057,13317
275,740057445,13319
275,740045476,13321
275,740021713,13323
275,740021712,13325
275,740058309,13327
275,740059036,13330
275,740059039,13335
275,740021698,13338
275,740059052,13342
275,740059056,13345
275,740025721,41225
275,740066377,41227
275,740066378,41229
275,740066379,41231
275,740066380,41233
275,740066381,41235
275,740066382,41237
275,740066383,41239
275,740066384,41249
275,740066385,41251
275,740066386,41253
275,740066387,41255
275,740065478,13365
275,740065479,13367
275,740065480,13369
275,740065481,13373
275,740065482,13375
275,740065483,13379
275,740065484,13381
275,740065485,13383
275,740065486,13385
275,740065487,13387
275,740065488,13389
275,740065489,13391
275,740065490,13395
275,740065491,13397
275,740021719,13401
275,740065492,13403
275,740065493,13405
275,740065494,13407
275,740065495,13409
275,740065496,13411
275,740065497,13413
275,740065498,13417
275,740065499,13419
275,740065500,13421
275,740065501,13423
275,740065502,13425
275,740065503,13427
275,740065504,13429
275,740065505,13431
275,740065506,13433
275,740065507,13440
275,740065508,13441
275,740065509,13443
275,740065510,13445
275,740065511,13447
275,740065512,13449
275,740065513,13451
275,740065514,13453
275,740065515,13455
275,740065516,13457
275,740065518,13465
275,740065519,13467
275,740065520,13469
275,740065521,13471
275,740045516,13474
275,740065522,13476
275,740065523,13478
275,740065524,13480
275,740065525,13482
275,740065526,13483
275,740065527,13485
275,740065528,13487
275,740065529,13491
275,740065530,13493
275,740065531,13495
275,740070751,13502
275,740065533,13505
275,740065534,13507
275,740065535,13509
275,740065536,13511
275,740065537,13513
275,740065538,13515
275,740066444,41451
275,740066445,41453
275,740066446,41455
275,740066447,41457
275,740066448,41459
275,740066449,41461
275,740045674,41463
275,740066450,41465
275,740001309,41468
275,740066451,41469
275,740066388,41257
275,740066389,41259
275,740066390,41261
275,740066391,41263
275,740066392,41265
275,740066393,41267
275,740066394,41269
275,740066395,41271
275,740066396,41273
275,740066397,41275
275,740066398,41277
275,740066399,41279
275,740066400,41281
275,740066401,41284
275,740066402,41285
275,740066403,41309
275,740066404,41313
275,740066405,41315
275,740066406,41317
275,740066407,41321
275,740024822,41323
275,740026591,41325
275,740066408,41327
275,740025716,41329
275,740066409,41331
275,740066410,41333
275,740066411,41335
275,740066412,41337
275,740066413,41339
275,740066414,41341
275,740066415,41345
275,740066416,41349
275,740066418,41353
275,740066419,41355
275,740066420,41357
275,740066421,41359
275,740066422,41361
275,740066423,41363
275,740066424,41365
275,740066425,41367
275,740066426,41370
275,740066427,41371
275,740066428,41391
275,740066429,41393
275,740066430,41395
275,740066431,41397
275,740066432,41399
275,740066433,41401
275,740021839,41403
275,740066434,41405
275,740024823,41407
275,740001312,41411
275,740066435,41419
275,740066436,41433
275,740066437,41435
275,740066438,41437
275,740066439,41439
275,740020579,41441
275,740066440,41443
275,740066441,41445
275,740066442,41447
275,740066443,41449
275,740066376,41223
275,740046191,55139
275,740046251,55141
275,740067329,55180
275,740067330,55182
275,740067331,55184
275,740067332,55186
275,740067335,55739
275,740067336,55761
275,740067338,55765
275,740067339,55767
275,740067340,55769
275,740067341,55775
275,740067342,55825
275,740067343,55827
275,740067344,55829
275,740067346,56013
275,740014424,56017
275,740067347,56086
275,740014661,56087
275,740067351,56092
275,740067354,56401
275,740067355,56404
275,740067356,56408
275,740067358,56411
275,740034946,56416
275,740067360,56512
275,740067361,56521
275,740067362,56523
275,740067363,56683
275,740067364,56685
275,740067365,56687
275,740000782,56701
275,740067366,56730
275,740011413,56771
275,740067367,56782
275,740067368,56821
275,740067369,56829
275,740067370,56831
275,740067371,56834
275,740067372,56837
275,740067373,56839
275,740067374,56841
275,740067375,56851
275,740067376,57002
275,740067378,57022
275,740067380,57025
275,740035235,57027
275,740067382,57087
275,740049260,57092
275,740044694,57094
275,740044695,57096
275,740067384,57099
275,740045519,57100
275,740010528,57295
275,740012894,57301
275,740033206,57310
275,740034484,304
275,740034486,306
275,740014648,312
275,740015538,314
275,740059057,13347
275,740059061,13349
275,740045499,13350
275,740059112,13351
275,740062050,13352
275,740062051,13355
275,740062055,13357
275,740064387,13359
275,740064391,13361
275,740065153,13363
275,740066452,41471
275,740066453,41473
275,740066454,41475
275,740066455,41477
275,740066456,41479
275,740066457,41481
275,740066458,41483
275,740045673,41485
275,740001039,41488
275,740066459,41489
275,740066460,41492
275,740066461,41523
275,740066462,41525
275,740066463,41527
275,740018269,41529
275,740045285,41531
275,740066464,41533
275,740001082,41535
275,740066465,41551
275,740066466,41553
275,740066467,41555
275,740066468,41559
275,740024941,41561
275,740066469,41563
275,740066470,41565
275,740066471,41567
275,740024942,41569
275,740066472,41572
275,740066473,41593
275,740045675,41595
275,740045676,41597
275,740066474,41599
275,740066475,41601
275,740066476,41603
